Nome,Memoria,Tempo,Accuratezza
G3_circuit.mat,294.279551506042,6.7492709,3.57484907516625e-12
GT01R.mat,13.5919923782349,0.1626504,3.80985793527588e-15
Hook_1498.mat,1904.09339809418,460.6571612,9.05690329501735e-14
TSC_OPF_1047.mat,62.3065824508667,0.3803337,1.887712913994e-11
nd24k.mat,879.087613105774,34.9509594,4.5005772771062e-11
ns3Da.mat,52.2016706466675,0.8558596,9.38900624321551e-16
bundle_adj.mat,644.121716499329,1.8423042,1.12101483800396e-05
ifiss_mat.mat,114.285172462463,1.3988998,3.33111702403234e-14
