Nome,Memoria,Tempo,Accuratezza
G3_circuit.mat,294.272170,20.323128,4.909819e-12
GT01R.mat,13.581273,0.721170,4.430250e-15
TSC_OPF_1047.mat,62.298356,0.750500,5.071854e-12
nd24k.mat,879.079988,47.165705,3.650173e-11
ns3Da.mat,52.193610,1.197309,9.878791e-16
Hook_1498.mat,1904.083762,794.283479,1.714399e-13
bundle_adj.mat,644.115644,10.871654,1.121015e-05
ifiss_mat.mat,114.275426,1.744386,8.839573e-14
