Nome;Memoria;Tempo;Accuratezza
Hook_1498.mat;1904.08870315552;1391.959495;1.28142540379873E-13
G3_circuit.mat;294.279630661011;11.253014;3.52281686142008E-12
GT01R.mat;13.5920715332031;0.178462;3.39275517129111E-15
TSC_OPF_1047.mat;62.3064155578613;0.528146;6.36518680502644E-12
bundle_adj.mat;644.125495910645;1.974355;1.12101483800396E-05
ifiss_mat.mat;114.28893661499;1.832425;5.4346856464065E-14
nd24k.mat;879.087940216064;131.931699;3.18459859318406E-11
ns3Da.mat;52.201997756958;1.417635;9.20824891029614E-16
