Nome,Tempo,Accuratezza,Memoria
G3_circuit.mat,167.31517910957336,8.75259539521176e-13,285.03125
TSC_OPF_1047.mat,1.2800092697143555,2.4243756347464078e-11,198.12109375
GT01R.mat,1.5289037227630615,6.383607266796117e-13,198.1015625
ns3Da.mat,5.304988145828247,7.669070770186366e-15,198.04296875
ifiss_mat.mat,5.529475688934326,3.8861570333397104e-14,98.7578125
nd24k.mat,4335.38595867157,9.772767691942944e-09,33.7578125
